alcohol	citric acid	volatile acidity:pH:residual sugar	quality
9.8	0.29	0.49:2.93:2.0	low
	0.26	0.49:3.39:1.9	low
10.5	0.04	nan:3.75:1.4	low
12.9	0.17	0.6:3.85:2.3	medium
10.7	0.0	nan:3.45:3.0	low
		0.5:3.25:2.0	low
9.8	0.06	0.9:nan:nan	low
9.0	0.18	0.545:3.3:1.9	medium
		0.61:3.4:2.1	medium
10.4	0.3	0.5:3.31:1.9	medium
9.0	0.18	0.545:nan:1.9	medium
9.2	0.22	nan:3.29:2.1	low
9.4		0.49:3.33:nan	low
9.2	0.22	0.575:3.29:2.1	low
9.3	0.68	nan:3.08:nan	low
9.3	0.31	0.63:3.46:nan	low
9.6	0.53	0.33:3.37:2.5	medium
	0.52	0.785:nan:nan	low
9.5	0.19	0.56:3.19:1.8	low
9.8	0.09	nan:nan:2.2	low
9.8	0.1	0.6:3.15:2.2	low
9.7		0.31:3.32:2.3	medium
9.5	0.19	0.56:3.19:1.8	low
10.5	0.31	0.4:nan:nan	medium
	0.28	0.54:3.39:1.9	medium
9.4	0.12	0.56:3.37:2.0	medium
10.9	0.04	0.55:3.21:2.2	medium
9.2	0.08	0.69:3.34:1.8	medium
	0.09	1.07:3.3:1.7	low
10.9	0.04	nan:3.21:2.2	medium
	0.0	0.695:3.49:2.5	low
9.5	0.0	nan:3.44:2.6	low
	0.17	0.5:nan:1.6	low
9.4	0.04	0.62:3.16:1.9	low
10.9	0.0	nan:3.53:1.7	low
10.9	0.0	nan:3.54:1.8	low
	0.16	0.59:3.42:1.8	high
9.4	0.15	nan:nan:1.8	low
	0.56	0.745:nan:2.0	low
13.0	0.09	0.5:3.63:nan	low
13.0		nan:3.63:2.3	low
9.8	0.01	0.5:3.4:1.5	medium
9.9	0.05	1.04:nan:2.2	medium
9.6	0.11	0.745:3.19:1.9	low
9.5	0.15	0.715:3.23:1.8	low
9.2	0.36	0.415:3.48:2.0	low
	0.19	0.56:nan:nan	low
9.5	0.19	0.56:nan:2.0	low
9.6		0.745:3.19:1.9	low
9.5	0.15	0.715:nan:1.8	low
14.0	0.0	0.34:3.68:1.8	medium
	0.08	0.39:3.34:1.7	low
14.0	0.0	0.34:3.68:1.8	medium
9.4	0.55	0.67:3.17:1.8	low
10.0	0.02	0.68:3.54:nan	low
9.3	0.26	0.49:3.11:1.6	low
		0.49:3.42:nan	medium
10.5	0.44	0.4:3.53:2.8	medium
10.3	0.47	0.33:3.33:2.1	medium
9.4	1.0	0.52:2.74:3.4	low
10.1	0.03	0.6:nan:1.8	low
	0.03	0.6:3.35:nan	low
	0.42	0.43:3.42:5.5	low
	0.42	0.43:nan:5.5	low
10.5		0.43:nan:5.5	low
10.5		0.43:3.42:5.5	low
9.3	0.0	0.68:3.48:2.2	low
		0.6:3.59:1.9	medium
9.6	0.03	0.95:3.2:2.0	low
	0.02	0.68:3.17:1.3	low
10.0		0.53:nan:1.7	medium
9.4	0.26	0.6:3.37:7.3	low
9.4	0.26	0.59:nan:nan	low
9.5	0.48	nan:3.19:1.7	low
10.2	0.1	nan:3.34:2.1	low
9.0		0.55:3.37:1.6	low
10.4	0.07	nan:3.47:2.1	medium
9.5		0.705:nan:1.8	low
9.1	0.03	0.885:3.36:1.8	low
9.2	0.17	0.42:3.29:2.0	medium
9.2		nan:3.29:nan	medium
11.5	0.05	0.62:3.42:1.9	medium
	0.21	0.38:nan:2.0	low
9.5	0.04	0.5:3.35:1.5	low
9.5	0.21	0.38:3.33:2.0	low
	0.42	0.52:3.58:nan	medium
9.6	0.0	0.805:3.48:nan	low
9.5	0.14	nan:3.19:2.4	low
	0.14	0.61:3.19:nan	low
9.3	0.49	0.61:3.12:nan	low
9.3	0.02	nan:3.44:2.5	low
9.3	0.2	0.61:3.54:nan	low
9.3	0.21	0.62:3.52:1.9	medium
9.7		nan:3.26:2.0	low
9.2	0.48	nan:3.34:2.0	low
9.7	0.1	0.705:3.39:2.6	low
	0.33	0.5:3.2:nan	low
9.5	0.32	0.49:3.2:1.9	low
9.4	0.35	0.5:3.23:2.9	low
9.8	0.25	0.37:3.57:1.9	medium
9.5	0.12	0.63:3.28:3.8	low
9.7	0.21	0.55:3.28:2.2	low
9.7	0.21	0.55:3.28:2.2	low
9.4	0.33	0.59:nan:2.0	low
	0.3	0.58:3.46:2.4	low
10.1	0.6	nan:3.11:2.0	medium
	0.08	0.835:3.57:nan	high
11.4	0.06	1.09:3.51:2.1	low
	0.47	0.32:3.22:nan	high
	0.48	0.37:3.04:2.1	low
9.5		0.5:3.36:1.5	low
9.2	0.35	nan:3.34:1.6	low
9.2	0.36	nan:3.34:1.6	medium
10.8	0.74	nan:3.2:2.6	high
10.8	0.74	0.3:nan:nan	high
9.3	0.31	0.57:3.29:1.8	low
9.4	0.28	nan:3.22:2.7	low
10.5	0.58	0.3:nan:2.1	high
12.4		0.53:3.3:2.0	medium
10.0	0.24	nan:nan:2.8	medium
10.2	0.64	0.44:3.21:2.1	medium
10.1	0.26	nan:3.3:nan	low
	0.08	0.735:3.24:2.4	medium
10.5		0.49:nan:5.6	low
11.0	0.16	0.625:3.14:nan	low
9.1	0.22	0.725:nan:2.2	low
9.7	0.19	0.49:3.39:1.9	low
9.5	0.33	0.53:nan:2.4	low
9.4	0.37	0.34:3.34:nan	medium
9.4	0.26	0.53:3.15:2.0	low
9.5		0.61:3.42:1.5	low
10.0		0.645:3.28:2.0	medium
10.4	0.36	0.635:nan:2.0	low
10.5	0.25	nan:3.37:nan	medium
9.5	0.5	0.59:3.04:2.0	medium
		0.82:nan:2.6	low
10.5	0.25	0.43:nan:nan	medium
11.0	0.25	0.52:nan:2.6	low
12.2	0.04	0.48:3.54:1.6	high
9.9	0.06	0.38:3.37:1.8	medium
9.6	0.2	nan:3.34:2.8	medium
11.0		0.52:3.46:2.6	low
9.0	0.09	1.0:3.32:nan	medium
9.0	0.0	nan:3.37:1.9	medium
9.0	0.0	0.63:nan:1.9	medium
9.2	0.0	0.645:3.37:nan	medium
9.0	0.0	nan:3.37:1.9	medium
9.0	0.09	nan:3.32:2.3	medium
9.3	0.37	nan:3.0:1.7	low
10.9	0.56	nan:3.14:2.1	medium
	0.1	0.58:3.08:1.8	medium
9.2	0.44	0.21:3.07:2.2	high
9.2	0.44	0.21:3.07:nan	high
9.9	0.0	nan:3.61:2.0	medium
9.5	0.07	0.68:3.38:nan	low
	0.17	0.6:nan:2.3	low
9.8		nan:3.35:1.7	medium
	0.0	0.66:3.61:2.0	medium
10.0	0.44	0.32:3.22:1.6	medium
9.9	0.0	0.6:3.47:1.8	medium
10.5	0.48	0.35:3.17:3.1	low
9.5		0.775:3.23:nan	low
9.9	0.0	0.6:3.47:1.8	medium
9.3	0.23	0.57:3.26:nan	low
	0.37	0.34:3.22:2.2	low
9.2	0.0	0.695:3.49:nan	low
9.4	0.76	0.41:3.06:1.8	low
10.5	0.47	0.31:3.36:2.6	high
	0.23	0.33:3.29:nan	low
9.4	0.04	0.975:3.35:2.0	low
10.0	0.03	0.52:3.34:nan	low
	0.23	0.37:nan:1.8	low
10.9	0.49	0.56:nan:2.4	low
10.2		0.26:3.2:nan	high
9.8	0.0	0.87:3.6:3.3	low
12.8		0.35:3.35:3.6	high
9.4	0.04	0.54:3.69:3.0	medium
10.1	0.51	nan:nan:nan	medium
10.7	0.06	0.545:nan:4.0	medium
	0.51	0.18:3.28:4.0	medium
10.1	0.58	0.37:3.22:4.0	low
	0.2	nan:3.31:2.4	low
9.4	0.18	0.65:3.38:7.0	low
10.7	0.06	0.545:3.36:4.0	medium
9.4	0.04	nan:3.69:nan	medium
10.1	0.51	0.18:3.28:nan	medium
12.6	0.45	0.32:3.23:6.4	high
	0.32	nan:3.38:5.6	high
9.3	0.44	0.26:3.12:3.6	medium
	0.68	0.27:3.25:3.5	high
9.1		0.52:3.36:3.0	low
10.5		nan:nan:nan	high
9.8		nan:3.31:nan	low
9.8	0.07	nan:3.31:nan	low
	0.55	nan:3.1:nan	medium
10.3		nan:3.37:3.0	medium
10.6	0.09	nan:3.34:2.5	high
9.2	0.53	0.42:3.2:3.3	low
10.6	0.09	0.52:nan:2.5	high
10.5	0.48	0.2:3.3:2.0	low
10.3		0.55:nan:nan	medium
10.1	0.25	0.36:nan:2.4	medium
	0.52	0.34:nan:3.2	medium
9.5	0.46	0.5:3.05:2.5	low
9.9	0.37	0.83:3.16:2.6	low
9.6	0.06	0.63:3.67:2.0	low
	0.02	0.65:3.67:2.3	low
9.6	0.06	0.67:3.68:2.1	low
10.7		0.53:3.38:2.6	medium
10.1		nan:3.22:nan	medium
	0.12	0.705:3.51:2.6	low
9.5	0.12	nan:3.39:1.6	low
9.2	0.6	0.65:3.2:2.1	low
9.3	0.48	0.53:3.12:2.5	medium
9.4	0.32	0.62:3.36:2.2	low
9.5	0.42	0.41:3.19:2.4	medium
	0.44	0.43:3.19:2.4	medium
9.5	0.38	nan:3.41:1.7	medium
	0.48	0.53:3.12:2.5	medium
9.4	0.24	nan:3.27:2.0	medium
9.5	0.31	nan:3.32:2.8	medium
9.4	0.3	0.47:3.3:3.0	low
		0.36:3.39:2.6	low
11.0	0.29	nan:3.42:2.5	medium
10.1	0.23	0.56:nan:nan	low
10.4	0.12	0.77:3.3:2.9	medium
	0.39	0.66:3.37:3.2	high
10.4	0.12	nan:3.3:2.9	medium
11.5	0.39	0.66:3.37:3.2	high
9.7	0.26	0.61:3.24:nan	low
9.3	0.05	0.62:3.29:2.3	low
9.5	0.42	0.59:nan:2.8	medium
	0.2	0.49:3.16:11.0	medium
9.2	0.2	0.49:3.16:nan	medium
11.5	0.66	0.53:nan:3.65	high
11.5	0.5	0.44:3.28:4.5	low
9.7	0.62	0.27:nan:2.6	medium
		nan:3.18:nan	low
12.5		0.36:3.23:2.9	medium
12.5	0.64	0.36:nan:2.9	medium
9.4		0.58:3.22:3.2	medium
11.0	0.08	0.56:3.13:2.1	low
11.7	0.01	0.65:3.34:2.5	high
12.2	0.53	0.695:3.17:nan	high
	0.45	0.43:3.35:nan	medium
	0.32	0.43:3.31:2.8	low
11.5	0.58	0.49:nan:nan	medium
9.8		0.28:3.11:2.3	high
9.2	0.5	0.34:3.12:2.4	medium
11.3	0.48	0.42:nan:2.7	medium
	0.47	0.39:3.3:1.8	medium
9.8		0.39:nan:nan	medium
10.7	0.5	0.57:3.12:2.6	medium
9.9	0.0	0.685:3.6:nan	low
12.3	0.02	0.815:3.58:2.7	high
	0.67	nan:3.02:3.0	medium
10.0	0.31	0.56:3.11:2.8	medium
	0.0	0.785:nan:2.6	medium
9.9	0.22	0.67:3.28:2.7	medium
9.4	0.0	0.795:3.35:2.6	medium
9.3	0.0	0.665:3.27:nan	low
	0.79	0.53:3.18:4.8	low
	0.4	0.21:3.25:1.4	medium
	0.01	0.75:nan:2.4	medium
11.0	0.52	0.41:3.26:3.0	low
11.7		0.42:3.24:nan	high
10.4	0.66	0.43:nan:3.1	high
9.8	0.66	0.38:3.17:2.6	medium
9.4	0.23	0.7:3.19:2.0	low
9.9	0.31	0.45:3.37:2.6	medium
10.0	0.66	0.58:3.05:2.5	low
		0.46:2.99:2.0	low
10.0	0.66	0.615:3.07:5.8	high
		nan:3.26:3.4	medium
10.0	0.66	nan:3.07:5.8	high
	0.61	0.575:3.16:2.6	low
		0.34:3.18:2.8	low
12.0	0.53	0.27:3.2:2.4	high
9.9	0.02	0.765:3.57:2.3	low
	0.4	0.24:3.32:nan	medium
	0.48	0.28:3.32:1.8	medium
9.2	0.22	nan:3.05:2.2	low
10.8	0.63	0.41:3.01:nan	medium
	0.71	0.54:nan:4.4	high
11.0	0.5	0.45:3.26:3.0	medium
12.0		0.27:3.2:nan	high
13.3	0.66	nan:3.11:6.2	medium
10.8	0.38	0.42:3.31:nan	medium
9.4		0.26:3.21:2.0	medium
10.0		0.415:nan:2.9	medium
9.4	0.42	0.26:3.21:2.0	medium
9.4	0.42	0.26:3.21:2.0	medium
	0.28	0.51:3.42:2.1	low
9.7		0.63:3.43:2.4	medium
9.2	0.26	0.54:3.41:2.0	medium
9.6	0.15	0.66:nan:1.9	medium
9.2	0.26	0.46:3.43:1.9	medium
10.0	0.31	0.38:3.19:2.5	high
	0.05	0.85:3.56:1.4	high
10.0	0.68	nan:nan:nan	medium
9.5	0.52	0.37:nan:2.0	low
9.1	0.61	0.665:nan:2.0	low
	0.65	0.6:3.03:2.3	low
13.0	0.76	0.37:nan:4.2	high
9.9		0.735:3.47:nan	low
11.0	0.59	0.59:3.18:2.6	medium
		0.59:3.18:2.6	medium
9.4		0.765:3.1:nan	low
	0.02	0.735:3.47:7.9	low
10.8		0.26:nan:nan	medium
10.5	0.54	nan:3.1:2.6	medium
10.5	0.49	0.6:3.15:2.7	medium
	0.05	0.69:3.26:2.7	low
10.1	0.46	0.31:nan:1.4	medium
10.8	0.47	0.44:3.24:2.5	medium
10.8	0.66	0.39:3.18:3.0	high
11.3	0.58	0.34:3.19:nan	medium
9.6	0.49	0.46:3.05:4.5	low
9.5	0.34	0.43:3.38:2.5	medium
9.5	0.35	nan:3.38:2.4	low
9.3		0.735:nan:1.9	low
11.7	0.53	0.4:nan:6.7	high
9.5	0.34	0.52:3.26:nan	low
	0.24	0.725:3.32:6.6	low
11.7	0.64	0.48:3.26:2.2	medium
10.5	0.12	0.58:3.44:1.9	low
10.4		0.38:3.24:2.0	medium
9.9	0.0	0.77:3.62:nan	low
11.8	0.33	0.56:3.28:2.4	high
12.3		nan:nan:2.3	high
10.9	0.2	0.96:3.36:2.0	low
11.0	0.47	0.24:3.15:2.1	high
		0.96:3.36:2.0	low
12.3	0.03	0.84:nan:2.3	high
11.4	0.08	0.67:3.49:2.1	medium
10.6		0.78:3.26:1.9	medium
9.3	0.33	0.52:3.24:1.3	low
10.4	0.63	0.84:3.1:2.4	medium
11.0	0.47	0.24:3.15:2.1	high
9.2		nan:3.25:2.2	low
12.8	0.69	nan:nan:2.3	medium
9.5	0.63	nan:3.16:2.3	low
9.9	0.55	0.41:3.15:3.2	medium
9.5	0.63	0.39:3.16:2.3	low
10.2	0.3	0.67:3.26:2.0	medium
	0.73	0.45:3.17:3.2	medium
	0.55	0.41:3.15:3.2	medium
9.3	0.18	0.62:3.08:1.5	low
9.8	0.72	0.31:2.88:nan	high
11.3	0.65	nan:3.06:2.15	medium
11.2	0.76	0.685:2.95:3.7	high
11.6		0.44:3.23:2.7	high
12.5	0.01	0.57:3.57:1.7	high
10.1	0.1	0.735:3.23:2.1	medium
	0.6	0.38:3.1:2.6	low
11.2	0.29	0.48:3.22:2.1	low
10.2	0.22	0.53:nan:2.0	medium
10.8	0.69	0.39:3.1:2.8	medium
10.8	0.69	0.39:3.1:2.8	medium
9.1	0.53	0.37:3.06:1.8	medium
10.0	0.03	0.56:nan:1.7	medium
11.2	0.63	nan:3.26:2.8	high
11.1	0.4	0.23:nan:1.6	low
13.4	0.67	0.62:3.22:5.2	high
10.3	0.39	0.59:3.37:2.3	low
9.6	0.21	0.63:nan:2.7	low
11.2	0.63	0.33:nan:2.8	high
9.0	0.66	0.58:3.25:2.2	low
11.3	0.52	nan:3.35:2.3	medium
9.3	0.22	0.615:3.26:2.6	low
11.8	0.68	nan:nan:2.55	low
	0.7	0.66:3.08:2.2	low
9.2	0.54	nan:2.98:2.1	medium
9.7	0.4	0.29:3.48:2.9	low
11.5		0.5:nan:2.0	medium
	0.45	0.46:3.32:2.6	medium
9.2	0.69	0.36:3.17:2.1	medium
9.8		nan:nan:1.2	low
10.6	0.65	0.32:3.05:2.6	low
11.4	0.42	0.54:3.2:2.4	medium
10.4		0.37:nan:nan	medium
	0.55	0.35:nan:2.1	low
	0.51	0.28:3.2:nan	medium
10.2	0.24	0.68:3.14:2.2	low
	0.41	0.27:3.28:2.0	low
11.0	0.49	0.24:3.18:nan	medium
10.2	0.24	nan:nan:2.2	low
10.1		nan:nan:2.7	medium
9.2	0.39	0.28:3.12:15.5	low
11.7	0.56	0.3:3.15:2.8	high
9.4	0.59	0.36:3.04:nan	low
		0.36:3.04:nan	low
13.4	0.68	nan:3.06:4.1	medium
10.0	0.39	0.67:3.17:1.9	low
10.0	0.39	0.67:nan:nan	low
10.0	0.36	nan:3.17:nan	medium
10.8	0.55	0.32:3.32:2.8	high
10.2	0.4	0.39:3.34:2.6	medium
10.6		0.775:3.31:nan	medium
13.3	0.5	0.41:3.34:2.5	high
	0.51	0.4:3.32:2.6	high
11.6	0.31	0.69:3.48:nan	medium
12.1	0.23	0.39:3.44:8.3	medium
11.0		0.35:3.15:nan	high
9.0	0.25	0.52:3.43:nan	medium
11.1	0.32	nan:3.32:2.5	low
11.0	0.53	0.35:nan:2.6	high
11.6	0.31	0.69:3.48:3.0	medium
9.0	0.25	0.52:nan:1.9	medium
		0.44:3.17:6.55	high
12.0	0.73	0.44:3.17:6.55	high
10.9	0.47	0.26:3.18:nan	high
10.8	0.42	0.24:3.21:1.8	high
12.5	0.63	0.49:3.16:2.9	high
10.8		0.24:3.25:nan	high
9.5	0.55	0.67:3.17:2.3	medium
10.2	0.31	0.59:3.18:2.2	medium
11.4	0.75	0.29:3.04:2.8	high
9.5	0.49	0.42:3.02:4.6	low
	0.31	0.59:nan:2.2	medium
9.7	0.48	0.4:3.03:2.1	medium
11.8	0.64	nan:3.09:2.4	high
11.8	0.64	0.51:3.09:2.4	high
9.3	0.49	0.655:3.31:nan	low
	0.49	0.6:3.25:4.3	medium
8.4	0.49	0.61:3.16:2.1	low
11.7	0.49	nan:nan:2.8	medium
11.0	0.49	nan:3.36:2.5	low
10.0	0.49	0.25:3.42:nan	medium
9.1	0.49	0.41:3.48:2.0	low
9.8	0.49	0.39:3.38:2.3	low
	0.49	0.4:nan:2.5	low
	0.49	0.43:nan:2.4	low
	0.24	0.64:3.24:2.8	low
11.0	0.49	0.365:3.36:2.5	low
		0.38:3.39:2.5	medium
8.7	0.49	0.42:nan:2.6	medium
9.4	0.24	nan:nan:2.4	low
10.3	0.24	0.22:3.41:2.1	medium
10.3		0.38:3.16:2.7	low
10.3	0.49	0.38:3.16:2.7	low
12.8	0.24	0.27:3.22:nan	medium
	0.24	0.48:3.28:2.7	medium
10.3	0.24	0.22:3.41:2.1	medium
	0.24	0.63:3.09:2.4	low
10.7	0.24	0.825:3.37:2.1	medium
12.0	0.49	nan:3.2:5.8	high
		0.5:3.22:5.15	low
9.6	0.24	0.59:3.26:3.3	low
	0.49	0.46:3.21:6.3	medium
9.9	0.24	0.715:3.12:2.1	low
11.0	0.24	0.66:3.06:2.5	medium
8.4	0.74	0.31:2.86:1.8	medium
9.1		0.47:nan:2.6	low
9.5	0.24	0.55:3.45:nan	medium
	0.49	nan:3.26:2.5	medium
10.4		nan:3.12:2.6	medium
9.4	0.49	0.53:3.27:1.9	medium
9.5	0.01	nan:3.33:2.1	medium
		0.43:3.19:2.8	medium
10.0	0.24	0.46:nan:2.7	medium
11.5	0.24	1.04:3.74:1.6	low
	0.49	0.645:nan:4.2	low
11.1	0.49	nan:2.92:4.2	low
	0.49	nan:nan:4.6	medium
11.1	0.49	0.645:2.92:4.2	low
11.7	0.49	0.53:3.07:4.6	medium
12.7	0.49	nan:3.3:4.3	medium
11.4	0.49	0.6:3.14:2.8	low
9.2	0.49	0.44:nan:2.4	low
9.2	0.49	0.54:nan:2.9	low
10.1		0.29:3.31:2.7	medium
12.7	0.49	0.47:nan:4.3	medium
	0.49	nan:3.14:2.8	low
9.0		0.7:3.32:2.5	medium
9.0	0.24	0.7:3.32:nan	medium
10.7		0.5:3.31:2.6	medium
11.7		nan:nan:2.2	medium
11.0	0.49	nan:3.32:3.3	medium
11.7		0.36:3.57:2.2	medium
10.4	0.49	0.24:nan:2.4	low
9.6	0.49	0.59:3.3:2.1	low
	0.49	0.34:nan:nan	medium
10.2	0.49	0.27:3.2:3.1	medium
10.0	0.24	0.5:3.34:2.3	low
9.5	0.49	0.44:3.3:nan	low
9.8	0.49	0.47:3.29:2.9	low
9.8		0.31:3.14:2.2	medium
9.6	0.49	0.5:nan:2.2	low
9.6	0.49	nan:nan:2.2	low
9.2	0.49	0.49:3.19:2.2	low
		nan:nan:1.9	high
	0.49	0.33:3.3:nan	high
9.6	0.24	0.51:3.47:2.4	medium
10.6		nan:3.12:nan	high
9.3	0.24	0.73:3.26:1.9	low
14.0	0.24	0.42:3.72:2.0	high
10.5	0.49	nan:3.05:2.6	high
9.7	0.49	0.45:3.35:2.6	low
	0.49	0.39:3.12:1.7	medium
9.7	0.49	0.45:nan:2.6	low
9.0	0.58	0.49:nan:nan	low
9.5	0.17	nan:3.4:nan	low
9.3	0.41	0.595:3.27:7.9	low
9.3	0.51	0.4:3.04:2.0	medium
10.0	0.58	0.58:3.09:1.9	medium
	0.18	0.585:nan:nan	medium
9.3	0.45	0.59:3.0:2.3	medium
	0.27	0.915:3.26:2.1	low
9.0	0.52	nan:3.1:2.2	medium
9.3	0.0	0.835:nan:2.6	low
	0.52	nan:3.1:nan	medium
9.1	0.13	0.58:3.17:nan	medium
9.2	0.13	0.6:3.31:2.6	medium
12.2		nan:nan:4.6	high
10.5		0.48:nan:3.3	medium
10.4	0.37	0.65:3.32:nan	medium
	0.19	0.36:3.56:nan	medium
	0.54	0.24:3.39:2.5	low
		0.38:2.98:2.7	low
10.0	0.0	nan:nan:nan	medium
9.8	0.38	0.39:3.26:1.5	low
10.2	0.18	0.755:nan:2.2	medium
	0.5	0.6:3.5:2.3	low
9.7	0.5	0.6:3.5:nan	low
9.8	0.51	0.31:3.03:nan	medium
10.2	0.5	0.46:3.13:2.7	low
9.3	0.41	0.37:3.09:2.3	low
		0.54:3.27:3.4	low
9.4	0.23	0.56:3.28:3.4	low
9.5		0.58:3.13:1.9	low
12.1		0.51:3.49:2.9	medium
10.2	0.0	nan:3.46:nan	low
10.2	0.0	0.69:3.46:nan	low
9.1	0.29	nan:3.36:2.2	low
9.1	0.29	0.6:3.36:2.2	low
9.3	0.26	0.54:nan:2.5	medium
9.3		0.685:3.21:2.3	low
9.3	0.26	0.54:3.27:2.5	medium
9.5	0.54	0.28:3.25:2.7	low
	0.14	0.41:3.32:3.0	medium
	0.22	nan:3.43:3.4	low
9.5	0.21	0.35:3.27:1.9	low
9.7	0.0	0.84:3.27:1.4	low
	0.28	0.88:nan:2.4	low
9.4	0.27	nan:3.24:2.3	low
10.2		0.915:3.35:2.2	high
10.3	0.35	0.29:3.18:1.9	medium
	0.45	nan:3.39:2.3	low
9.5	0.44	0.59:nan:2.3	low
9.4	0.45	0.54:3.39:2.3	low
9.5		nan:3.46:2.3	low
9.4	0.45	0.54:nan:2.3	low
10.1	0.1	0.64:3.37:6.0	high
	0.05	0.67:3.4:nan	low
11.0	0.01	0.845:nan:2.2	low
11.2		0.48:3.33:2.8	high
11.3		0.42:3.16:8.6	medium
9.6	0.39	0.43:nan:2.2	low
11.2	0.25	0.88:3.41:2.5	low
14.9	0.65	nan:2.98:7.5	low
12.0	0.59	0.33:nan:nan	medium
9.5	0.47	0.47:3.08:2.4	low
9.4		0.55:3.14:2.9	low
9.6	0.39	0.43:nan:2.2	low
10.5	0.59	0.5:nan:1.4	high
		nan:3.32:1.4	medium
11.0		0.84:3.41:4.4	low
9.6	0.07	nan:3.32:1.4	medium
	0.31	0.42:3.31:1.6	low
9.6	0.06	0.57:3.36:1.6	medium
10.2	0.46	0.28:3.04:1.8	medium
	0.52	nan:3.03:2.0	low
9.7	0.14	0.59:3.14:2.0	low
	0.36	0.49:3.18:1.8	medium
9.2	0.45	0.34:2.94:2.0	medium
11.0	0.43	0.73:3.15:2.3	low
	0.45	0.34:2.94:2.0	medium
10.0	0.24	0.4:3.26:2.5	low
9.5	0.21	0.73:nan:1.7	low
9.5		1.24:3.15:2.0	low
9.5		0.73:3.2:1.7	low
9.3	0.41	0.4:3.08:2.2	medium
10.2	0.39	0.41:3.26:2.2	low
9.3	0.41	0.4:3.08:2.2	medium
9.9		0.8:3.4:2.3	low
10.0	0.1	nan:3.48:nan	low
